Powder Material,Substrate Material,Beam Radius,P_input (W),v_l (mm/s),Pf_Ts (g/mm),E(j/mm3),Height (um),Depth (um),Width (um),Area (um2),Contact angle,Max Temp,dilution,Meltpool_label
316L,316L,1.4,500,4.23,0.0059,19.20630926,121.41,220.53,810.39,58100,147.4,2349.94,0.64,Undesirable Shape
316L,316L,1.4,500,4.23,0.0071,19.20630926,142.96,243.99,836.94,65200,146.38,2415.41,0.63,Undesirable Shape
316L,316L,1.4,500,4.23,0.0083,19.20630926,163.01,271.87,879.53,72400,144.68,2478.45,0.63,Undesirable Shape
316L,316L,1.4,500,4.23,0.0094,19.20630926,181.97,288.32,909.04,79400,144.81,2538.46,0.61,Undesirable Shape
316L,316L,1.4,500,4.23,0.0106,19.20630926,199.7,304.77,936.84,85900,142.97,2594.89,0.6,Undesirable Shape
316L,316L,1.4,500,4.23,0.0118,19.20630926,216.31,329.93,966.88,92500,141.97,2649.2,0.6,Undesirable Shape
316L,316L,1.4,500,8.46,0.0059,9.603154629,59.14,102.34,516.53,18100,156.67,2045.56,0.63,Undesirable Shape
316L,316L,1.4,500,8.46,0.0071,9.603154629,70.29,120.73,533.79,20200,155.2,2079.81,0.63,Undesirable Shape
316L,316L,1.4,500,8.46,0.0083,9.603154629,79.94,130.02,548.14,22500,151.85,2110.63,0.62,Undesirable Shape
316L,316L,1.4,500,8.46,0.0094,9.603154629,89.23,138.65,559.88,24500,151.79,2140.76,0.61,Undesirable Shape
316L,316L,1.4,500,8.46,0.0106,9.603154629,97.92,150.46,577.68,26600,151.09,2170.17,0.61,Undesirable Shape
316L,316L,1.4,500,8.46,0.0118,9.603154629,105.73,156.9,592.34,28500,148.85,2195.46,0.6,Undesirable Shape
316L,316L,1.4,500,12.69,0.0059,6.402103086,4.05,4.56,122.91,219,169.52,1745.05,0.53,Undesirable Shape
316L,316L,1.4,500,12.69,0.0071,6.402103086,5.27,4.77,122.88,273,172.29,1749.6,0.48,Desirable Shape
316L,316L,1.4,500,12.69,0.0083,6.402103086,6,4.93,123.1,317,171.35,1752.19,0.45,Desirable Shape
316L,316L,1.4,500,12.69,0.0094,6.402103086,6.27,5.11,123,369,171.41,1752.57,0.45,Desirable Shape
316L,316L,1.4,500,12.69,0.0106,6.402103086,6.84,5.31,123.14,421,169.07,1754.38,0.44,Desirable Shape
316L,316L,1.4,500,12.69,0.0118,6.402103086,7.4,5.45,130.48,484,170.07,1756.28,0.42,Desirable Shape
316L,316L,1.4,550,4.23,0.0059,21.12694018,108.5,235.6,903.2,203747,169.1,NaN,0.68,Undesirable Shape
316L,316L,1.4,550,4.23,0.0071,21.12694018,124.5,233.1,1040.9,252964.5,153.5,NaN,0.65,Undesirable Shape
316L,316L,1.4,550,4.23,0.0083,21.12694018,132.4,249.8,972.9,244467.2,161,NaN,0.65,Undesirable Shape
316L,316L,1.4,550,4.23,0.0094,21.12694018,157.7,242,1039.6,274248.6,158.6,NaN,0.61,Undesirable Shape
316L,316L,1.4,550,4.23,0.0106,21.12694018,138.1,204.5,927.4,228620.4,151.1,NaN,0.6,Undesirable Shape
316L,316L,1.4,550,4.23,0.0118,21.12694018,195.2,217.3,1050,321534,143.6,NaN,0.53,Undesirable Shape
316L,316L,1.4,550,4.23,0.013,21.12694018,205.8,197.6,939.8,276483.7,144.5,NaN,0.49,Desirable Shape
316L,316L,1.4,550,4.23,0.0142,21.12694018,188.9,200.5,1040,271810,135.8,NaN,0.51,Undesirable Shape
316L,316L,1.4,550,4.23,0.0154,21.12694018,218.4,223.3,939.8,286715,142.8,NaN,0.51,Undesirable Shape
316L,316L,1.4,550,4.23,0.0165,21.12694018,173.9,190.9,1066.8,285771.1,135.8,NaN,0.52,Undesirable Shape
316L,316L,1.4,550,8.46,0.0059,10.56347009,40.2,142.2,902.4,125146.1,164.8,NaN,0.78,Undesirable Shape
316L,316L,1.4,550,8.46,0.0071,10.56347009,56.5,157.4,843.4,125387.7,159,NaN,0.74,Undesirable Shape
316L,316L,1.4,550,8.46,0.0083,10.56347009,84.7,160.6,812.6,132061.7,162.3,NaN,0.65,Undesirable Shape
316L,316L,1.4,550,8.46,0.0094,10.56347009,82.5,147.6,836.5,125408.5,166.1,NaN,0.64,Undesirable Shape
316L,316L,1.4,550,8.46,0.0106,10.56347009,80.3,142.2,868,143260.7,164.3,NaN,0.64,Undesirable Shape
316L,316L,1.4,550,8.46,0.0118,10.56347009,104.2,97.7,847.2,125158.5,158,NaN,0.48,Desirable Shape
316L,316L,1.4,550,8.46,0.013,10.56347009,140,131.4,862,151044.8,164.4,NaN,0.48,Desirable Shape
316L,316L,1.4,550,8.46,0.0142,10.56347009,133.5,93.3,773.9,123206.7,160.6,NaN,0.41,Desirable Shape
316L,316L,1.4,550,8.46,0.0154,10.56347009,182.3,117.2,806.4,186966.9,119.7,NaN,0.39,Desirable Shape
316L,316L,1.4,550,8.46,0.0165,10.56347009,155.2,66.2,822.3,129970.4,133.6,NaN,0.3,Desirable Shape
316L,316L,1.4,550,12.69,0.0059,7.042313394,83.6,236.7,990.7,221075.6,154.8,NaN,0.74,Undesirable Shape
316L,316L,1.4,550,12.69,0.0071,7.042313394,113.9,217,1003.6,227443.1,161.5,NaN,0.66,Undesirable Shape
316L,316L,1.4,550,12.69,0.0083,7.042313394,162.9,210.6,1005.5,263628.7,146.3,NaN,0.56,Undesirable Shape
316L,316L,1.4,550,12.69,0.0094,7.042313394,187.7,160.6,977.7,242584.7,145,NaN,0.46,Desirable Shape
316L,316L,1.4,550,12.69,0.0106,7.042313394,192,123.7,995.1,229284.2,151.8,NaN,0.39,Desirable Shape
316L,316L,1.4,550,12.69,0.0118,7.042313394,183.4,144.3,992.5,238620,152.8,NaN,0.44,Desirable Shape
316L,316L,1.4,550,12.69,0.013,7.042313394,173.8,155.2,1031.2,259454.4,153.5,NaN,0.47,Desirable Shape
316L,316L,1.4,550,12.69,0.0142,7.042313394,229.1,99.8,1001.1,228048.8,156.1,NaN,0.3,Desirable Shape
